"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"CDH1" 3.78690003744021e-269 0.351217207277756 0.465 0.251 1.04870622736832e-264 "0" "CDH1"
"LGALS3" 5.04449815388837e-269 0.275872904669322 0.953 0.859 1.39697287375631e-264 "0" "LGALS3"
"SMAD3" 1.4847027356468e-268 0.271647226856171 0.293 0.114 4.11158728582669e-264 "0" "SMAD3"
"TMEM165" 6.8005981382968e-265 0.422419695401677 0.85 0.702 1.88328964243853e-260 "0" "TMEM165"
"DUSP5" 2.73217604472714e-264 0.390251376102085 0.311 0.13 7.56621512066286e-260 "0" "DUSP5"
"CHMP4B" 4.80501807227826e-262 0.332715523572151 0.81 0.636 1.33065365475602e-257 "0" "CHMP4B"
"CX3CL1" 1.75256095774586e-260 0.362945786614416 0.372 0.176 4.85336706028561e-256 "0" "CX3CL1"
"PDLIM1" 2.29150812241108e-259 0.424459337066345 0.678 0.487 6.345873443393e-255 "0" "PDLIM1"
"ODF2L" 2.90296887299335e-259 0.317738170670517 0.416 0.214 8.0391916999805e-255 "0" "ODF2L"
"ADAM9" 1.33128909118824e-258 0.354436608026636 0.573 0.36 3.68673888022759e-254 "0" "ADAM9"
"RARRES3" 3.24290623002501e-257 0.450480583545423 0.303 0.129 8.98058022280825e-253 "0" "RARRES3"
"UQCRB" 7.17125324704548e-256 0.355103687245274 0.86 0.736 1.9859351617043e-251 "0" "UQCRB"
"TMEM219" 1.48552331103728e-255 0.328261289077673 0.58 0.373 4.11385970525554e-251 "0" "TMEM219"
"TUBA1A" 9.09369727043888e-253 0.603611679438103 0.772 0.616 2.51831758510264e-248 "0" "TUBA1A"
"ADAM10" 2.34577597413194e-252 0.260330861958274 0.319 0.138 6.49615740516359e-248 "0" "ADAM10"
"RASD1" 1.07965522625554e-248 0.534708493714161 0.352 0.166 2.98988921806946e-244 "0" "RASD1"
"TPD52" 1.36012623912092e-248 0.309219395833682 0.614 0.403 3.76659759399758e-244 "0" "TPD52"
"CHMP5" 1.01334855577456e-247 0.325429517989125 0.742 0.55 2.8062661555065e-243 "0" "CHMP5"
"BSPRY" 3.52915619985695e-247 0.258902454819309 0.349 0.16 9.77329226426386e-243 "0" "BSPRY"
"EMP3" 5.5883183131841e-246 0.374198329681732 0.666 0.44 1.54757299047007e-241 "0" "EMP3"
"XIST" 2.7570239839274e-244 0.33505413684356 0.716 0.517 7.63502651869014e-240 "0" "XIST"
"MYOF" 6.94328973163239e-244 0.3158448806574 0.427 0.231 1.92280522538096e-239 "0" "MYOF"
"ZNF428" 2.35282934418155e-242 0.288243761499804 0.406 0.21 6.51569030284198e-238 "0" "ZNF428"
"MAP1LC3A" 2.02322832947272e-241 0.322298489599379 0.438 0.235 5.60292621280882e-237 "0" "MAP1LC3A"
"UGCG" 2.06277630704956e-241 0.375367890658829 0.519 0.307 5.71244642711234e-237 "0" "UGCG"
"EMP2" 2.30560870455231e-240 0.294587992463806 0.462 0.254 6.38492218551671e-236 "0" "EMP2"
"FNBP1" 4.24388024241973e-240 0.294537206487805 0.323 0.146 1.17525775553329e-235 "0" "FNBP1"
"CETN2" 2.40854934672955e-239 0.280576354968357 0.424 0.224 6.66999570589815e-235 "0" "CETN2"
"H1F0" 5.2707492923519e-239 0.357026197240161 0.789 0.597 1.45962860153101e-234 "0" "H1F0"
"ATP6V1G1" 1.45255545096944e-238 0.254353913515212 0.952 0.896 4.02256181036967e-234 "0" "ATP6V1G1"
"CRIP2" 3.5031488712969e-238 0.340325872580733 0.462 0.257 9.70127016928252e-234 "0" "CRIP2"
"PLOD2" 4.6175885306235e-238 0.401863789014862 0.42 0.223 1.27874879178557e-233 "0" "PLOD2"
"IL13RA1" 8.18102870938732e-237 0.251878656849798 0.342 0.156 2.26557228049063e-232 "0" "IL13RA1"
"SPINT1" 4.91128152482729e-236 0.363853108943353 0.727 0.559 1.36008119267042e-231 "0" "SPINT1"
"TMEM230" 1.6301484812233e-235 0.298264286871388 0.567 0.36 4.51437018905167e-231 "0" "TMEM230"
"ID2" 7.68842628702858e-232 0.549747807447398 0.414 0.224 2.12915589166682e-227 "0" "ID2"
"DUSP10" 4.88026287451284e-231 0.250535537618451 0.254 0.097 1.35149119783884e-226 "0" "DUSP10"
"HLA-C" 1.58571774953591e-228 0.373971665567427 0.946 0.898 4.39132816378979e-224 "0" "HLA-C"
"TMEM59" 4.15341285641564e-228 0.339529985851478 0.853 0.74 1.15020462232718e-223 "0" "TMEM59"
"SH3BP4" 1.70033335056983e-227 0.503911863715701 0.331 0.157 4.70873314773303e-223 "0" "SH3BP4"
"PET100" 5.65954113761567e-227 0.325731466598743 0.584 0.392 1.56729672723991e-222 "0" "PET100"
"KTN1" 6.51179786991702e-227 0.340740856900304 0.86 0.752 1.80331218411612e-222 "0" "KTN1"
"SVIP" 6.33424690230317e-226 0.274214308229624 0.411 0.218 1.75414299465482e-221 "0" "SVIP"
"XBP1" 5.76663280116881e-224 0.805513967460831 0.829 0.774 1.59695362162768e-219 "0" "XBP1"
"ERBB2" 1.29770487562879e-223 0.254979533556437 0.339 0.162 3.59373411207881e-219 "0" "ERBB2"
"STMN1" 8.69471092838772e-223 0.255403565669454 0.552 0.333 2.40782629739841e-218 "0" "STMN1"
"UQCR10" 1.4750464660805e-220 0.289494560393001 0.84 0.705 4.08484617851671e-216 "0" "UQCR10"
"SNRPN" 1.50539035548457e-216 0.306243132079462 0.486 0.29 4.16887751144341e-212 "0" "SNRPN"
"TMCO3" 2.27425647345426e-216 0.281769140698787 0.411 0.224 6.29809845193687e-212 "0" "TMCO3"
"DNAJC15" 2.93691856098549e-215 0.307369010038066 0.523 0.327 8.1332085709371e-211 "0" "DNAJC15"
"ZSWIM7" 5.70798755057495e-215 0.261089584919194 0.394 0.209 1.58071299238072e-210 "0" "ZSWIM7"
"MAGED2" 6.22967251059104e-215 0.354241999402448 0.506 0.316 1.72518320835798e-210 "0" "MAGED2"
"CYBA" 4.47982109217772e-214 0.347532459693119 0.645 0.44 1.24059685505678e-209 "0" "CYBA"
"CCND1" 1.30123174284983e-212 0.430984900785275 0.423 0.231 3.60350106547404e-208 "0" "CCND1"
"C6orf1" 5.78472915905434e-209 0.26351302538334 0.401 0.216 1.60196504601692e-204 "0" "C6orf1"
"SSR4" 2.6003845990676e-207 0.281015956222381 0.884 0.772 7.20124507019792e-203 "0" "SSR4"
"IFNGR2" 1.74934346266583e-206 0.317360428080884 0.537 0.348 4.84445685116049e-202 "0" "IFNGR2"
"SUMO2" 7.6271999736422e-206 0.25452453348397 0.93 0.86 2.11220048870073e-201 "0" "SUMO2"
"COA3" 1.03515777097052e-205 0.288134845445571 0.527 0.332 2.86666241514866e-201 "0" "COA3"
"TSPAN3" 7.27992023155896e-203 0.26319847891704 0.409 0.226 2.01602830972562e-198 "0" "TSPAN3"
"KIAA1522" 1.26553929332114e-202 0.289637810785768 0.38 0.207 3.50465796499424e-198 "0" "KIAA1522"
"PAFAH1B3" 5.47097352167691e-201 0.286847389998487 0.412 0.233 1.51507669735799e-196 "0" "PAFAH1B3"
"GSTK1" 7.59669289405486e-200 0.351016444771086 0.495 0.313 2.10375216315061e-195 "0" "GSTK1"
"NDUFA1" 1.13947320954372e-196 0.28204457722048 0.805 0.663 3.15554315918943e-192 "0" "NDUFA1"
"CD46" 1.16814351103115e-195 0.265508434715957 0.516 0.324 3.23493982509857e-191 "0" "CD46"
"LRBA" 1.39506932878145e-192 0.254382463067393 0.252 0.108 3.86336549219447e-188 "0" "LRBA"
"GLUL" 3.35351056331812e-190 0.346347389338393 0.648 0.468 9.28687680299687e-186 "0" "GLUL"
"MEAF6" 2.82086737620323e-189 0.281048313425704 0.679 0.505 7.8118280249196e-185 "0" "MEAF6"
"FAM114A1" 8.29972292663605e-188 0.26993169485925 0.416 0.24 2.29844227007332e-183 "0" "FAM114A1"
"SERPINA1" 2.15469011513208e-187 0.890125819980925 0.306 0.15 5.96698333583528e-183 "0" "SERPINA1"
"SERPINB6" 4.79742745827176e-187 0.287573602108712 0.542 0.363 1.3285515860192e-182 "0" "SERPINB6"
"UBL5" 7.81855087151919e-187 0.257313078456136 0.897 0.813 2.16519129284981e-182 "0" "UBL5"
"BNIP3L" 8.89539895804062e-187 0.343490220028919 0.635 0.447 2.46340283345019e-182 "0" "BNIP3L"
"ATP5O" 1.12872365481813e-186 0.29295584135646 0.813 0.671 3.12577441728786e-182 "0" "ATP5O"
"SEPW1" 6.85284499438808e-186 0.280284762732481 0.61 0.425 1.89775836429589e-181 "0" "SEPW1"
"ARPC3" 1.23614532495165e-185 0.251712004492127 0.886 0.77 3.4232572483886e-181 "0" "ARPC3"
"TMEM160" 2.04827373561286e-185 0.269706240472361 0.466 0.286 5.6722844560327e-181 "0" "TMEM160"
"VMP1" 2.3242781536001e-185 0.357482180672914 0.779 0.634 6.43662349076475e-181 "0" "VMP1"
"EFNA1" 3.49074553763635e-185 0.439119571567523 0.642 0.483 9.66692161737635e-181 "0" "EFNA1"
"BTG1" 1.40679886238899e-183 0.260898830345 0.899 0.766 3.89584808961384e-179 "0" "BTG1"
"SYNE2" 6.79365693788886e-183 0.26925353767996 0.41 0.235 1.88136741580956e-178 "0" "SYNE2"
"MGST1" 1.3466720309034e-181 0.278940007729314 0.972 0.928 3.72933885518078e-177 "0" "MGST1"
"MRPS21" 2.85080496642166e-180 0.277187195031656 0.715 0.563 7.89473419351149e-176 "0" "MRPS21"
"GSN" 1.3518655771687e-179 0.330723107128963 0.712 0.541 3.74372134285329e-175 "0" "GSN"
"NUCB2" 1.95610857348776e-179 0.310539929666416 0.499 0.321 5.41705147255965e-175 "0" "NUCB2"
"ARL6IP5" 7.47304047341277e-179 0.275806712621962 0.648 0.453 2.0695090983022e-174 "0" "ARL6IP5"
"HACD3" 2.6409835177252e-178 0.273079794143555 0.438 0.26 7.31367565563639e-174 "0" "HACD3"
"KRT10" 6.06328806343494e-171 0.270041798860822 0.778 0.63 1.67910636340704e-166 "0" "KRT10"
"GTF3C6" 2.28924131895636e-170 0.256210263415965 0.564 0.376 6.33959598458584e-166 "0" "GTF3C6"
"FLNB" 9.96842675012602e-170 0.250398616883452 0.383 0.218 2.7605564199124e-165 "0" "FLNB"
"ETFB" 1.93745395708364e-169 0.263806214581425 0.408 0.243 5.36539124335173e-165 "0" "ETFB"
"ENAH" 2.2369626868916e-169 0.268793267931064 0.462 0.291 6.19482076880892e-165 "0" "ENAH"
"UQCC2" 4.49882497082484e-167 0.281197524267827 0.544 0.382 1.24585959917052e-162 "0" "UQCC2"
"RBCK1" 8.02459395718198e-167 0.281771322831857 0.481 0.313 2.22225080456241e-162 "0" "RBCK1"
"MIEN1" 2.34376795095899e-165 0.262368319518569 0.656 0.488 6.49059658659073e-161 "0" "MIEN1"
"CNDP2" 2.20820856670371e-162 0.25427175299915 0.462 0.296 6.11519198377258e-158 "0" "CNDP2"
"GTF2I" 3.27904291846141e-162 0.255759031859364 0.545 0.378 9.08065355409519e-158 "0" "GTF2I"
"DDAH2" 6.26096808065889e-160 0.270608424635165 0.569 0.4 1.73384989057687e-155 "0" "DDAH2"
"FAM102A" 8.56388721520243e-160 0.251029860874441 0.325 0.177 2.37159728650601e-155 "0" "FAM102A"
"FAM177A1" 9.00920044726867e-159 0.296966074229707 0.615 0.464 2.49491787986211e-154 "0" "FAM177A1"
"SARAF" 2.26142775998539e-158 0.259193728061867 0.787 0.646 6.26257189572755e-154 "0" "SARAF"
"PRDX2" 5.80866733682813e-158 0.346186210238267 0.714 0.6 1.60859424558781e-153 "0" "PRDX2"
"CBX3" 1.23783205220304e-157 0.252496799804631 0.737 0.595 3.42792830216587e-153 "0" "CBX3"
"HCFC1R1" 2.94396700558411e-157 0.352473796360278 0.41 0.26 8.15272782856408e-153 "0" "HCFC1R1"
"DAXX" 4.68553217657656e-157 0.270778031377977 0.446 0.286 1.29756442565935e-152 "0" "DAXX"
"UQCR11" 2.83600243655548e-156 0.252208987911501 0.83 0.713 7.85374154755309e-152 "0" "UQCR11"
"CD151" 3.41415250653234e-154 0.302120877493445 0.832 0.749 9.45481253634002e-150 "0" "CD151"
"SPATS2L" 9.99069460960614e-154 0.262435602492299 0.493 0.327 2.76672305823823e-149 "0" "SPATS2L"
"BLVRB" 5.11610847760091e-152 0.301777316778093 0.715 0.588 1.41680392070202e-147 "0" "BLVRB"
"BAMBI" 6.91403183300809e-152 0.31581968635778 0.267 0.134 1.91470283551493e-147 "0" "BAMBI"
"NDUFA3" 2.99627684358307e-151 0.272802440163516 0.543 0.386 8.29758946293459e-147 "0" "NDUFA3"
"CTTN" 3.5479436774885e-151 0.277161114068949 0.568 0.404 9.82532042606889e-147 "0" "CTTN"
